"","x"
"1",388.960556972808
"2",400.238827651293
"3",389.905639931112
"4",392.242578784235
"5",402.0220388799
"6",390.548626102165
"7",388.403362533913
"8",394.494938243861
"9",396.334711941727
"10",394.327308646421
"11",403.903189572831
"12",383.093268778033
"13",367.32885323423
"14",376.8298893356
"15",378.871757246565
"16",381.926401703107
"17",383.880738317326
"18",380.321333930365
"19",382.993579828622
"20",379.641042246174
"21",382.7971322105
"22",390.737913612059
"23",383.292663435973
"24",378.230126457234
"25",373.228323811879
"26",370.191191238346
"27",380.147403819159
"28",378.886889118802
"29",359.326264416808
"30",363.889728497594
"31",361.07637909115
"32",365.729848835072
"33",365.934922633215
"34",368.164975746923
"35",359.902065561881
"36",378.037930929163
"37",384.621925569063
"38",369.472358242086
"39",378.642344730829
"40",384.019710751927
"41",385.733757216502
"42",387.925915742599
"43",383.648217673398
"44",380.211204673319
"45",384.312036476069
"46",397.536076146015
"47",418.566959261828
"48",421.086057207923
"49",419.911962391657
"50",403.206938761995
"51",390.298703776614
"52",391.763715759401
"53",399.72850323868
"54",407.3073860243
"55",405.817840265849
"56",401.691589840348
"57",408.460071408145
"58",402.599631232256
"59",399.941241874759
"60",405.33724222926
"61",402.923197549693
"62",414.170888817832
"63",402.427214002228
"64",403.039123492977
"65",412.911993630058
"66",403.924016623465
"67",404.411251369586
"68",409.485435485206
"69",406.637315478769
"70",408.050990560218
"71",410.379154125329
"72",411.31361642187
"73",420.823100080362
"74",436.849839805254
"75",415.099819556675
"76",407.996185103109
"77",415.012506010925
"78",408.518993757386
"79",402.213267968473
"80",405.814000555173
"81",406.643572510215
"82",412.214141822327
"83",408.010739246045
"84",405.131068717351
"85",394.649167965928
"86",405.846763007154
"87",410.810235404731
"88",395.061802712328
"89",385.715407064344
"90",385.701804920975
"91",387.978324560142
"92",381.840229806659
"93",393.916417700915
"94",392.651903792546
"95",397.602003683735
"96",401.432185350785
"97",399.393027937924
"98",382.475579707094
"99",384.894263194136
"100",374.911414775985
"101",384.774332394314
"102",390.472903508111
"103",389.158737431624
"104",381.960648266424
"105",386.245361247962
"106",387.60382219211
"107",379.645568228567
"108",384.918675892856
"109",388.839290450355
"110",380.547535409557
"111",373.278200959745
"112",380.903029671766
"113",363.25936334448
"114",357.456290463958
"115",359.149885851639
"116",360.070147204012
"117",361.175562213988
"118",358.605192987133
"119",363.134503955991
"120",346.341289811174
"121",353.789204745417
"122",348.143561427984
"123",362.282015284171
"124",364.292615550773
"125",361.687807986512
"126",360.766874757339
"127",370.986562735699
"128",378.021301418453
"129",373.521129087468
"130",362.155072414902
"131",365.200276083297
"132",375.441883697702
"133",398.144361530019
"134",368.362172747065
"135",389.285053793405
"136",394.041177550236
"137",388.88432921985
"138",386.066555203707
"139",379.817298271888
"140",384.132049927815
"141",379.776850889158
"142",376.762606958413
"143",377.710692752623
"144",365.116399960075
"145",381.326653375652
"146",398.318810306781
"147",376.828291452898
"148",384.785235734956
"149",382.342124618967
"150",379.309918329283
"151",378.483947438831
"152",380.436737612907
"153",376.309531468813
"154",378.05979676348
"155",373.002279689066
"156",398.584324109381
"157",385.593800663696
"158",387.621379677327
"159",389.429866921699
"160",381.185400290335
"161",385.078287131535
"162",387.848587518329
"163",390.507597510288
"164",379.67688048318
"165",377.047757109358
"166",373.952360447517
"167",379.279626550541
"168",382.636135101298
"169",386.991590992611
"170",391.327573644778
"171",385.685553656016
"172",395.71025747197
"173",397.656064194129
"174",403.065286252175
"175",406.406567684964
"176",400.929815835718
"177",399.120652822614
"178",399.538992094378
"179",395.209819761987
"180",399.913585050865
"181",413.841264495011
"182",414.744499572972
"183",416.415188107179
"184",405.1835909644
"185",407.021741815319
"186",413.372088054808
"187",413.872957841595
"188",423.499989063383
"189",408.013400909694
"190",417.729216436925
"191",415.920827385952
"192",417.395846931749
"193",405.56615534045
"194",430.063218831027
"195",430.175757805305
"196",423.799913259467
"197",419.13814732761
"198",419.907331920615
"199",412.016897798059
"200",413.850846421262
"201",415.50488108595
"202",422.198132150107
"203",423.090920782635
"204",458.035046179518
"205",408.538094458355
"206",408.064300069396
"207",413.323489305081
"208",427.745392732636
"209",426.471531408215
"210",427.184784612896
"211",423.810955864119
"212",429.887013977275
"213",430.084288378755
"214",425.524466025621
"215",413.13274188843
"216",414.74097443015
"217",420.125244065534
"218",400.73449052172
"219",406.652065742018
"220",408.281842497112
"221",415.443083776391
"222",419.48272316488
"223",418.321531709081
"224",416.176219914299
"225",424.400467325819
"226",423.67396824259
"227",429.220190944944
"228",419.001448866668
"229",414.99013969728
"230",409.167851335507
"231",426.194244691391
"232",432.089344290434
"233",429.00020660885
"234",416.525629239827
"235",425.645627972129
"236",415.230392479157
"237",427.405608269356
"238",426.421251550983
"239",430.151079969371
"240",433.918855850519
"241",412.332292857064
"242",434.663627816753
"243",445.465974975516
"244",429.102548198507
"245",418.791612220001
"246",426.450758095881
"247",434.826119160022
"248",435.802913648422
"249",435.460845233868
"250",436.688851645449
"251",444.488129983706
"252",437.95911357459
"253",455.833942999588
"254",456.802659288768
"255",434.592229302268
"256",436.631272819231
"257",437.618703314882
"258",448.612559029843
"259",435.465356321327
"260",435.411106813504
"261",433.374286487517
"262",437.162492722348
"263",427.925930443023
"264",429.442530688341
"265",430.379010436813
"266",444.350669245894
"267",434.746500793322
"268",440.490568056221
"269",441.095858889948
"270",440.635316984708
"271",444.779685656547
"272",456.836052344987
"273",448.82659544268
"274",440.433024524833
"275",454.445461172267
